OFFICIAL_GENE_SYMBOL	Name	Species
AURKB	aurora kinase B(aurkb)	Danio rerio
RAD51	RAD51 recombinase(rad51)	Danio rerio
MYSM1	Myb-like, SWIRM and MPN domains 1(mysm1)	Danio rerio
RCOR1	REST corepressor 1(rcor1)	Danio rerio
RB1	retinoblastoma 1(rb1)	Danio rerio
MPHOSPH8	M-phase phosphoprotein 8(mphosph8)	Danio rerio
UBR5	ubiquitin protein ligase E3 component n-recognin 5(ubr5)	Danio rerio
HMGN2	high mobility group nucleosomal binding domain 2(hmgn2)	Danio rerio
PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit(prkaa2)	Danio rerio
CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila)(cbx5)	Danio rerio
DAPK3	death-associated protein kinase 3(dapk3)	Danio rerio
CHD8	chromodomain helicase DNA binding protein 8(chd8)	Danio rerio
PRMT5	protein arginine methyltransferase 5(prmt5)	Danio rerio
PARP3	poly (ADP-ribose) polymerase family, member 3(parp3)	Danio rerio
ZBTB7C	zinc finger and BTB domain containing 7C(zbtb7c)	Danio rerio
DDB1	damage-specific DNA binding protein 1(ddb1)	Danio rerio
MSH6	mutS homolog 6 (E. coli)(msh6)	Danio rerio
PCGF3	polycomb group ring finger 3(pcgf3)	Danio rerio
HDAC4	histone deacetylase 4(hdac4)	Danio rerio
TAF2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf2)	Danio rerio
DPF2	D4, zinc and double PHD fingers family 2(dpf2)	Danio rerio
MYBBP1A	MYB binding protein (P160) 1a(mybbp1a)	Danio rerio
SGF29	SAGA complex associated factor 29(sgf29)	Danio rerio
ZNF592	zinc finger protein 592(znf592)	Danio rerio
KANSL2	KAT8 regulatory NSL complex subunit 2(kansl2)	Danio rerio
GFI1B	growth factor independent 1B transcription repressor(gfi1b)	Danio rerio
FAM175A	family with sequence similarity 175, member A(fam175a)	Danio rerio
MORF4L1	mortality factor 4 like 1(morf4l1)	Danio rerio
SRCAP	Snf2-related CREBBP activator protein(srcap)	Danio rerio
HMG20B	high mobility group 20B(hmg20b)	Danio rerio
brms1	breast cancer metastasis suppressor 1(brms1)	Danio rerio
TTK	ttk protein kinase(ttk)	Danio rerio
PRMT6	protein arginine methyltransferase 6(prmt6)	Danio rerio
setmar	SET domain and mariner transposase fusion gene(setmar)	Danio rerio
SUPT3H	SPT3 homolog, SAGA and STAGA complex component(supt3h)	Danio rerio
UBR2	ubiquitin protein ligase E3 component n-recognin 2(ubr2)	Danio rerio
RBX1	ring-box 1, E3 ubiquitin protein ligase(rbx1)	Danio rerio
FOXP4	forkhead box P4(foxp4)	Danio rerio
atxn7	ataxin 7(atxn7)	Danio rerio
TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf10)	Danio rerio
TAF3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated facto(taf3)	Danio rerio
TRRAP	transformation/transcription domain-associated protein(trrap)	Danio rerio
PPP4R3B	protein phosphatase 4, regulatory subunit 3B(ppp4r3b)	Danio rerio
JADE1	jade family PHD finger 1(jade1)	Danio rerio
ZZZ3	zinc finger, ZZ-type containing 3(zzz3)	Danio rerio
NCOA3	nuclear receptor coactivator 3(ncoa3)	Danio rerio
PRDM16	PR domain containing 16(prdm16)	Danio rerio
WDR77	WD repeat domain 77(wdr77)	Danio rerio
GSE1	Gse1 coiled-coil protein(gse1)	Danio rerio
DNMT1	DNA (cytosine-5-)-methyltransferase 1(dnmt1)	Danio rerio
YEATS2	YEATS domain containing 2(yeats2)	Danio rerio
KAT6B	K(lysine) acetyltransferase 6B(kat6b)	Danio rerio
KDM8	lysine (K)-specific demethylase 8(kdm8)	Danio rerio
SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1(smarcd1)	Danio rerio
znf541	zinc finger protein 541(znf541)	Danio rerio
EYA1	EYA transcriptional coactivator and phosphatase 1(eya1)	Danio rerio
SETD3	SET domain containing 3(setd3)	Danio rerio
EYA3	EYA transcriptional coactivator and phosphatase 3(eya3)	Danio rerio
PRPF31	PRP31 pre-mRNA processing factor 31 homolog (yeast)(prpf31)	Danio rerio
UBE2E1	ubiquitin-conjugating enzyme E2E 1(ube2e1)	Danio rerio
CDK17	cyclin-dependent kinase 17(cdk17)	Danio rerio
PRMT7	protein arginine methyltransferase 7(prmt7)	Danio rerio
SETD5	SET domain containing 5(setd5)	Danio rerio
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)(actr3b)	Danio rerio
DND1	DND microRNA-mediated repression inhibitor 1(dnd1)	Danio rerio
ING4	inhibitor of growth family, member 4(ing4)	Danio rerio
USP21	ubiquitin specific peptidase 21(usp21)	Danio rerio
NOC2L	NOC2-like nucleolar associated transcriptional repressor(noc2l)	Danio rerio
PHF20L1	PHD finger protein 20-like 1(phf20l1)	Danio rerio
KDM4C	lysine (K)-specific demethylase 4C(kdm4c)	Danio rerio
ELP2	elongator acetyltransferase complex subunit 2(elp2)	Danio rerio
CHD9	chromodomain helicase DNA binding protein 9(chd9)	Danio rerio
EXOSC4	exosome component 4(exosc4)	Danio rerio
PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit(prkab2)	Danio rerio
BAHD1	bromo adjacent homology domain containing 1(bahd1)	Danio rerio
SKP1	S-phase kinase-associated protein 1(skp1)	Danio rerio
JADE3	jade family PHD finger 3(jade3)	Danio rerio
MRGBP	MRG/MORF4L binding protein(mrgbp)	Danio rerio
ATRX	alpha thalassemia/mental retardation syndrome X-linked homolog (human)(atrx)	Danio rerio
TP53BP1	tumor protein p53 binding protein, 1(tp53bp1)	Danio rerio
HIF1AN	hypoxia inducible factor 1, alpha subunit inhibitor(hif1an)	Danio rerio
NSL1	NSL1, MIS12 kinetochore complex component(nsl1)	Danio rerio
SAP18	Sin3A-associated protein(sap18)	Danio rerio
parp2	poly (ADP-ribose) polymerase 2(parp2)	Danio rerio
ASH1L	ASH1 like histone lysine methyltransferase(ash1l)	Danio rerio
ZBTB33	zinc finger and BTB domain containing 33(zbtb33)	Danio rerio
ZNF711	zinc finger protein 711(znf711)	Danio rerio
UBE2H	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)(ube2h)	Danio rerio
ALKBH1	alkB homolog 1, histone H2A dioxygenase(alkbh1)	Danio rerio
ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)(ash2l)	Danio rerio
BRCC3	BRCA1/BRCA2-containing complex, subunit 3(brcc3)	Danio rerio
PHC3	polyhomeotic homolog 3 (Drosophila)(phc3)	Danio rerio
